iter	Passed	Remaining
0	2	273
1	5	255
2	7	248
3	9	228
4	11	225
5	14	221
6	16	223
7	19	221
8	21	219
9	24	216
10	26	212
11	28	211
12	31	208
13	33	207
14	36	205
15	38	202
16	40	199
17	43	196
18	45	193
19	47	190
20	50	188
21	52	186
22	55	184
23	57	182
24	60	180
25	62	177
26	65	175
27	67	172
28	69	169
29	71	166
30	73	163
31	75	160
32	77	157
33	79	155
34	82	152
35	84	149
36	86	147
37	88	144
38	90	141
39	91	137
40	93	134
41	94	129
42	95	126
43	97	123
44	98	120
45	99	116
46	100	113
47	102	110
48	103	107
49	104	104
50	105	101
51	106	98
52	107	95
53	108	92
54	109	89
55	110	86
56	111	84
57	112	81
58	113	78
59	114	76
60	115	73
61	116	71
62	117	69
63	118	66
64	119	64
65	120	62
66	121	59
67	122	57
68	124	55
69	125	53
70	126	51
71	127	49
72	129	47
73	130	45
74	132	44
75	133	42
76	134	40
77	135	38
78	136	36
79	137	34
80	138	32
81	139	30
82	140	28
83	141	26
84	142	25
85	144	23
86	145	21
87	147	20
88	148	18
89	149	16
90	150	14
91	151	13
92	152	11
93	153	9
94	154	8
95	155	6
96	156	4
97	157	3
98	158	1
99	159	0
