iter	Passed	Remaining
0	177	177524
1	178	89179
2	179	59627
3	181	45090
4	182	36347
5	183	30437
6	184	26223
7	185	23051
8	187	20663
9	188	18675
10	189	17047
11	190	15698
12	191	14555
13	192	13576
14	193	12725
15	195	12003
16	197	11393
17	198	10807
18	199	10283
19	200	9818
20	201	9395
21	202	9011
22	204	8675
23	205	8358
24	206	8053
25	207	7772
26	208	7510
27	210	7306
28	213	7157
29	215	6980
30	217	6789
31	218	6609
32	219	6439
33	220	6275
34	222	6121
35	223	5977
36	224	5841
37	226	5729
38	228	5630
39	230	5524
40	231	5423
41	233	5330
42	235	5239
43	237	5152
44	238	5066
45	241	5013
46	243	4939
47	245	4864
48	247	4796
49	248	4728
50	250	4662
51	252	4601
52	255	4557
53	257	4514
54	259	4463
55	261	4410
56	263	4355
57	265	4304
58	266	4258
59	269	4214
60	271	4182
61	273	4143
62	275	4102
63	277	4061
64	279	4020
65	281	3982
66	283	3944
67	285	3911
68	286	3869
69	288	3829
70	289	3789
71	291	3752
72	292	3719
73	294	3684
74	296	3651
75	298	3632
76	301	3609
77	302	3577
78	304	3544
79	305	3514
80	307	3484
81	308	3455
82	309	3418
83	311	3392
84	313	3376
85	316	3366
86	318	3344
87	320	3323
88	324	3324
89	326	3301
90	330	3299
91	332	3279
92	334	3260
93	335	3238
94	337	3216
95	338	3191
96	340	3167
97	343	3161
98	345	3146
99	347	3125
100	348	3104
101	350	3083
102	351	3065
103	353	3046
104	355	3027
105	358	3026
106	360	3007
107	362	2990
108	364	2981
109	366	2967
110	369	2959
111	374	2967
112	376	2953
113	379	2952
114	381	2936
115	383	2920
116	384	2901
117	386	2885
118	388	2874
119	390	2862
120	392	2848
121	393	2831
122	395	2817
123	396	2804
124	398	2789
125	399	2774
126	401	2759
127	403	2751
128	405	2740
129	407	2727
130	409	2714
131	410	2700
132	412	2688
133	414	2676
134	415	2665
135	418	2656
136	420	2651
137	422	2640
138	424	2631
139	426	2619
140	428	2607
141	429	2593
142	431	2588
143	434	2584
144	436	2574
145	438	2562
146	439	2550
147	440	2538
148	442	2526
149	443	2514
150	445	2502
151	449	2506
152	451	2496
153	452	2486
154	454	2475
155	455	2466
156	457	2455
157	458	2445
158	461	2438
159	463	2431
160	464	2418
161	465	2409
162	467	2400
163	469	2391
164	470	2381
165	472	2372
166	473	2363
167	475	2356
168	478	2350
169	479	2343
170	481	2333
171	482	2323
172	484	2314
173	485	2305
174	487	2296
175	488	2288
176	491	2284
177	492	2275
178	494	2267
179	496	2260
180	497	2252
181	499	2243
182	501	2241
183	505	2240
184	507	2235
185	508	2226
186	510	2217
187	511	2209
188	512	2200
189	514	2192
190	515	2185
191	517	2178
192	519	2172
193	521	2166
194	522	2158
195	524	2151
196	525	2143
197	527	2135
198	528	2128
199	530	2120
200	531	2113
201	533	2105
202	535	2101
203	537	2095
204	538	2089
205	540	2081
206	541	2074
207	543	2067
208	544	2062
209	547	2058
210	549	2056
211	551	2050
212	553	2044
213	555	2038
214	557	2034
215	558	2028
216	560	2022
217	561	2015
218	564	2011
219	566	2008
220	568	2003
221	569	1996
222	571	1990
223	572	1984
224	574	1977
225	575	1971
226	577	1965
227	581	1967
228	582	1961
229	583	1954
230	585	1948
231	586	1942
232	588	1936
233	589	1930
234	591	1924
235	592	1918
236	594	1915
237	596	1909
238	597	1903
239	599	1898
240	601	1893
241	602	1887
242	604	1884
243	606	1879
244	609	1878
245	612	1877
246	614	1874
247	616	1870
248	618	1865
249	620	1860
250	621	1855
251	624	1852
252	626	1849
253	628	1844
254	630	1842
255	632	1837
256	634	1835
257	636	1829
258	638	1825
259	640	1823
260	642	1819
261	644	1814
262	645	1808
263	646	1803
264	648	1798
265	649	1793
266	651	1788
267	653	1785
268	656	1783
269	658	1779
270	659	1775
271	661	1770
272	663	1766
273	664	1761
274	666	1756
275	670	1758
276	672	1754
277	673	1750
278	675	1746
279	677	1742
280	678	1737
281	680	1733
282	684	1735
283	687	1732
284	689	1728
285	691	1727
286	693	1722
287	694	1717
288	696	1712
289	697	1708
290	700	1707
291	703	1704
292	704	1700
293	706	1696
